#meta,export_name,profile_data
#meta,original_variable,beam['profile_data']
#meta,shape,"(5, 800, 7)"
#meta,ndim,3
#meta,size,28000
#meta,export_mode,full
i,j,k,value
0,94,6,1.0196212606499653
0,95,0,0.8791401250919703
0,95,1,0.09561772157499654
0,95,2,0.025242153333033136
0,95,3,0.4779101605410811
0,95,4,17.78460799114474
0,95,5,44.67101673827936
0,95,6,1.0189980110698398
0,96,0,0.8782421099066956
0,96,1,0.09607460610131882
0,96,2,0.02568328399198557
0,96,3,0.48446026288721894
0,96,4,17.840856929907524
0,96,5,44.693333575733845
0,96,6,1.0198330379574916
0,97,0,0.8776781471976949
0,97,1,0.09619808412147893
0,97,2,0.026123768680826234
0,97,3,0.49032402807553743
0,97,4,17.897014919784297
0,97,5,44.71558538341401
0,97,6,1.0195444907950844
0,98,0,0.8761465619384812
0,98,1,0.09660467664922968
0,98,2,0.027248761412289137
0,98,3,0.4967049036935832
0,98,4,17.96360185110665
0,98,5,44.74179478070755
0,98,6,1.0195064446373707
0,99,0,0.8756960532451075
0,99,1,0.0971751434378712
0,99,2,0.02712880331702135
0,99,3,0.5056762410763702
0,99,4,18.019718178676982
0,99,5,44.76402394438192
0,99,6,1.0195619680423376
0,100,0,0.8750476533150408
0,100,1,0.09713237146083797
0,100,2,0.027819975224121316
0,100,3,0.5115386327793284
0,100,4,18.075427285850857
0,100,5,44.78627151072789
0,100,6,1.0200827864334394
0,101,0,0.8739601588676217
0,101,1,0.09797413069671665
0,101,2,0.02806571043566166
0,101,3,0.5143158135581811
0,101,4,18.13120984982809
0,101,5,44.80855511898476
0,101,6,1.019423289122097
0,102,0,0.8730852713631435
0,102,1,0.09808526815035326
0,102,2,0.028829460486503252
0,102,3,0.522984736380505
0,102,4,17.76915686195863
0,102,5,44.86670567124404
0,102,6,1.0190410571037423
0,103,0,0.8717361798109883
0,103,1,0.09876740290651474
0,103,2,0.029496417282496943
0,103,3,0.5293086254389326
0,103,4,17.82489127306902
0,103,5,44.88905410473648
0,103,6,1.0197621927163816
0,104,0,0.8712941550620814
0,104,1,0.09854165077989563
0,104,2,0.03016419415802286
0,104,3,0.5360813730254776
0,104,4,17.880617777460966
0,104,5,44.911334315357735
0,104,6,1.0193454466767364
0,105,0,0.8702599055625275
0,105,1,0.09100600847232543
0,105,2,0.03873408596514712
0,105,3,0.5399953100075517
0,105,4,16.21027474643746
0,105,5,42.27806190647189
0,105,6,1.016648270949751
0,106,0,0.8694031781421343
0,106,1,0.09179452223163174
0,106,2,0.038802299626233966
0,106,3,0.5467853541072458
0,106,4,16.271888110881697
0,106,5,42.30147421001546
0,106,6,1.0168181898893471
0,107,0,0.8689951116941913
0,107,1,0.09127006369224255
0,107,2,0.0397348246135661
0,107,3,0.5523452573751887
0,107,4,16.33313614455213
0,107,5,42.32498932747841
0,107,6,1.0173944347693855
0,108,0,0.8678419853500635
0,108,1,0.09187719289562928
0,108,2,0.04028082175430718
0,108,3,0.5590203660447851
0,108,4,16.39450166732848
0,108,5,42.34838139859792
0,108,6,1.0174025620481029
0,109,0,0.8670300087705064
